
FILENAME: CDCINDEX.TXT

                               cDc communications
                                     Index
                               updated: 07/01/1993

Currently: 256 releases - Collect 'em all!  Trade 'em with your friends!
195. Earth Goo                                         Lady Carolin
196. Interesting Things to Do With a Scanner           The Mad Hatter
197. Ruth                                              Obscure Images
198. Some General Observations                         THE NIGHTSTALKER
199. Presumed Guilty                                   Schneider, Flaherty
200. The cDc #200 Higgledy-Piggledy-Big-Fat-Henacious-
     Mega-Mackadocious You-Can't-Even-Come-Close-So-
     Jump-Back-K-B00MIDY-B00MIDY-B00M File             Swamp Ratte'
201. One Wrong Move                                    The Deth Vegetable
202. Monster Jennifer, or Celibacy Can Kill You        Omega
203. The Briefing                                      Reid Fleming
204. Life in General                                   Video Vindicator
205. That Which Strikes Terror Into the Hearts of Men  Lady Carolin
206. The Power of Art                                  THE NIGHTSTALKER
207. F23                                               Obscure Images
208. A Visit to the Slaughterhouse                     Transderm-Nitro
209. Helmet Interview: July 17, 1992                   G.A. Ellsworth
210. My Shit, and How to Strangle It                   Tequila Willy
211. Point of No Return                                Dave Ferret
212. The Krill File                                    O.H. Krill
213. Smurf Impalement                                  Tequila Willy
214. How to Break the Law                              Anonymous
215. Me As TV                                          Franken Gibe
216. Amazingly True Things #2                          Swamp Ratte'
217. Life in Wartime                                   The Deth Vegetable
218. The Media and Campaign 1992                       Lewis & Morgan
219. Sebadoh Interview: March 3, 1992                  G.A. Ellsworth
220. A Child's Garden of Curses                        Lady Carolin
221. Sickness                                          Franken Gibe
222. A Day in the Life of Debbie G1bs0n                The Madwoman
223. The B!G Envelope Stuffing Scam                    Hanover Fiste
224. The Bird                                          Obscure Images
225. Tequila Willy's Position Paper                    Reid Fleming & Omega
226. Simple Cryptology                                 Dave Ferret
227. Big Ol' Heaping Pile of Shit                      Suicidal Maniac
228. ISDN: Fucking the Vacuum Cleaner Attachments      Reid Fleming
229. The Evil Truth About Peter Pan                    Lady Carolin
230. The 2:00 O'Clock Bus                              Tequila Willy &
231. Sunday Night Inside the Net                       Obscure Images
232. Fred, the Boy Everyone Hated                      Allen Williams
233. Desert Road Dick Disaster                         Lady Carolin &
                                                       Renee O'Willsie
234. Hybrid Vigor                                      Curtis Yarvin
235. Somethin'                                         Franken Gibe
236. Easy Rider II                                     Erik Radmall
237. The Fart of War                                   Havok Halcyon
238. Clubbing                                          Xibo (Mr. Coates)
239. Truckin' an' Fuckin'                              Omega
240. Condors, Ganja, Rah Rah Rah!                      Clifton Royston & kEvin
                                                       Bambi the Usurper

Also: cDc Global Domination Updates #1-13              Swamp Ratte'
      The cDc compilations: volumes one-three          Swamp Ratte'
        [Apple II]

EOF

