
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
       3,495.0 WX Brazzaville            Civ Av E Asia              13,297.0
       3,707.0 WX Dakar                  Civ Av ME                   2,956.0
       3,801.5 American Red Cross        Civ Av ME                   8,945.0
       3,815.0 Hurricane Natl Net        Civ Av N Afr                5,352.0
       3,935.0 Hurricane Gulf Net        Civ Av N Ctl Asia           5,676.0
       3,943.0 Hurricane W Gulf          Civ Av N Ctl Asia          11,297.0
       4,055.0 DOT Emergency             Civ Av N Ctl Asia          13,303.0
       4,077.0 Scheveningen Radio Ship   Civ Av N Pac                8,951.0
       4,116.0 Ships CCG Halifax 4,408   Civ Av N&S Pac             13,273.0
       4,125.0 Marine Calling/Distress   Civ Av Pac                  2,863.0
       4,148.0 Ship/Ship                 Civ Av Pac                  6,679.0
       4,164.0 Ship/Ship                 Civ Av S Atl                2,844.0
       4,369.0 USCG WLC Rogers City MI   Civ Av SE Asia              2,965.0
       4,376.0 Can CG                    COMNAVFORCARIB              7,535.0
       4,376.0 Drug Enforcement          COMNAVFORCARIB             15,522.0
       4,376.0 USCG                      COMSTA Charleston          10,788.0
       4,387.0 Wellington NZ Radio       Corps of Engineers          2,300.0
       4,408.0 CCG Halifax Ship 4,116    Corps of Engineers          2,326.0
       4,426.0 USCG Portsmouth wx        Corps of Engineers          2,345.0
       4,429.0 Dutch Navy den Helder     Corps of Engineers          2,348.5
       4,438.0 Bell Telephone            Corps of Engineers          2,350.0
       4,439.0 Bell Telephone            Corps of Engineers          2,602.0
       4,449.0 USAF                      Corps of Engineers          2,605.0
       4,464.0 RAF                       Corps of Engineers          3,287.0
       4,466.0 CAP USB                   Corps of Engineers          3,290.0
       4,466.0 CAP USB NY                Corps of Engineers          3,302.0
       4,469.0 CAP LSB                   Corps of Engineers          3,305.0
       4,480.5 DOE                       Corps of Engineers          4,850.0
       4,489.5 USAF SAC                  Corps of Engineers          5,011.0
       4,492.0 USAF SAC                  Corps of Engineers          5,015.0
       4,495.0 USAF SAC                  Corps of Engineers          5,327.0
       4,500.0 US Customs Channel ZA     Corps of Engineers          5,346.0
       4,506.0 CAP USB                   Corps of Engineers          5,400.0
       4,509.0 CAP LSB/USB               Corps of Engineers          5,437.0
       4,510.0 USAF Coordination         Corps of Engineers         16,382.0
       4,540.0 RAF                       Cubana                      8,927.0
       4,550.0 Gulf of Mexico            CWP-1                       2,932.0
       4,582.0 CAP National Emergency    CWP-1                       6,532.0
       4,585.0 CAP USB                   CWP-1                       8,903.0
       4,601.0 CAP USB                   CWP-1                      13,300.0
       4,604.0 CAP LSB                   CWP-1                      17,904.0
       4,610.5 Bell Telephone            CWP-1/2                     2,998.0
       4,627.0 CAP USB                   CWP-1/2                     4,666.0
       4,630.0 CAP LSB/USB               CWP-1/2                     6,562.0
       4,637.5 Gulf Oil Rigs             CWP-1/2                    11,384.0
       4,645.0 Alaska                    CWP-2                       6,532.0
       4,647.0 USAF                      CWP-2                       8,903.0
       4,654.0 WW Berna                  CWP-2                      13,300.0
       4,657.0 AFI-5                     CWP-2                      17,904.0
       4,665.0 MAF Net LatAm             C-SAM                      10,096.0
       4,666.0 CWP-1/2                   C-SAM                      13,297.0
       4,668.0 WX Argentina              C/NE/SE-SAM                 5,526.0
       4,669.0 NW/SW-SAM MID-3           C/NE/SE-SAM AK              8,855.0
       4,669.5 DOE                       C/SE/NE-SAM EUR-1           3,479.0
       4,672.0 Offshore Drilling         DEA                         5,277.0
       4,675.0 NAT-D                     DEA                         7,300.0
       4,678.0 NCA-2                     DEA                         7,582.0
       4,687.0 LDOC Rangoon              DEA                         7,657.0
       4,704.0 Lahr/Edm/Tren/StJ Mil     DEA                         9,497.0
       4,707.0 RAF                       DEA                        11,246.0
       4,710.0 RAF                       DEA                        14,350.0
       4,711.0 USN A/G                   DEA                        14,690.0
       4,717.0 RAF                       DEA                        16,141.0
       4,721.0 USAF GCCS                 DEA                        23,675.0
       4,722.0 WX RAF UK                 DEA I Alt day              23,403.0
       4,725.0 USAF SAC                  DEA P Alt day              14,686.0
       4,727.0 SAC (Ch Victor)           DEW Line                    5,295.0
       4,729.0 USAF GCCS                 DOE                         2,287.5
       4,730.0 Canada MACS               DOE                         2,622.5
       4,730.0 RAF                       DOE                         3,336.6
       4,739.0 Canada Search & Rescue    DOE                         4,480.5
       4,739.0 RAF                       DOE                         4,669.5
       4,742.0 RAF                       DOE                         5,309.5
       4,742.0 USAF Mystic               DOE                         5,752.5
       4,746.0 Hurricane USAF            DOE                         5,948.5
       4,749.0 RAF                       DOE                         6,646.5
       4,752.0 Canada MACS               DOE                         6,982.5
       4,760.0 USAF Mystic               DOE                         7,701.5
       4,807.0 LDOC Portishead           DOE                         7,840.5
       4,840.0 National Guard            DOE                         8,025.0
       4,850.0 Corps of Engineers        DOE                         9,115.5
       4,855.0 USAF Coordination         DOE                         9,919.5
       4,856.0 NASA Cape Radio           DOE                         9,963.5
       4,872.0 NORAD/SAGE                DOE                        11,126.5
       4,893.0 Medical Owings Mill MD    DOE                        11,397.5
       4,896.0 USAF SAC                  DOE                        11,556.5
       4,902.0 FHWA                      DOE                        13,803.5
       4,947.5 Alaska                    DOE                        14,657.0
       4,991.0 US Customs Channel XB     DOE                        16,065.5
       4,992.0 NASA Cape Radio           DOE                        17,398.5
       5,000.0 MSF Time/Freq             DOE                        17,902.5
       5,000.0 WWV                       Domestic AK                 2,875.0
       5,005.0 Bell Telephone            Domestic AK                 2,911.0
       5,008.0 DOT Emergency             Domestic AK                 2,956.0
       5,011.0 Corps of Engineers        Domestic AK                 5,463.0
       5,015.0 Corps of Engineers        Domestic AK                 5,472.0
       5,020.0 USAF SAC                  Domestic AK                 5,484.0
       5,026.0 USAF SAC                  Domestic AK                 5,490.0
       5,036.0 Gulf of Mexico            Domestic AK                 5,496.0
       5,085.0 US Customs Channel XC     Domestic AK                 5,631.0
       5,095.0 RAF                       Domestic AK                 6,580.0
       5,099.1 Bell Telephone            Domestic AK                 6,604.0
       5,110.0 USAF SAC                  Domestic AK                 8,876.0
       5,122.5 Alaska                    Domestic AK                11,357.0
       5,164.0 French Canadian fixed     Domestic AK                11,363.0
       5,167.5 Alaska Emergency          DOT Emergency               3,303.0
       5,171.0 USAF SAC                  DOT Emergency               4,055.0
       5,190.0 ETR PRI Night Channel     DOT Emergency               5,008.0
       5,211.0 FEMA                      DOT Emergency               7,373.5
       5,215.0 USAF SAC                  DOT Emergency               7,475.0
       5,243.0 USAF SAC                  DOT Emergency               7,582.0
       5,255.0 FHWA                      DOT Emergency               8,125.0
       5,277.0 DEA                       DOT Emergency               9,074.5
       5,295.0 DEW Line                  DOT Emergency              11,028.0
       5,297.0 NORAD/SAGE                DOT Emergency              13,432.5
       5,309.5 DOE                       DOT Emergency              17,421.0
       5,310.0 Alaska                    Dragon Radio                8,921.0
       5,310.0 UN Bosnia                 Dragon Radio               17,940.0
