
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
      13,220.0 Lat AM USAF Co-op         SEA-1/3                     6,556.0
      13,224.0 Hurricane USAF            SEA-1/3                    13,318.0
      13,231.0 Lahr Military WX          SEA-1/3 AK                  3,470.0
      13,237.0 RAF                       SEA-2                       8,942.0
      13,241.0 USAF SAC                  SEA-2 EA-2                  3,485.0
      13,244.0 USAF GCCS                 SEA-2 EA-2                 13,309.0
      13,247.0 USAF GCCS                 SEA-2/3 EA-2 W-CAR         11,396.0
      13,254.0 Canada MACS               SEA-3                      11,318.0
      13,257.0 Lahr/Edm/Tren/StJ Mil     SE-SAM                     10,096.0
      13,257.0 RAF                       SE-SAM                     13,297.0
      13,261.0 WW CEP                    Shannon Volmet              3,413.0
      13,264.0 WX Shannon                Shannon Volmet              5,505.0
      13,267.0 Hurricane Ctr Miami A/G   SHARES Emergency Net        7,475.0
      13,267.0 WX Khabarovsk             SHARES Emergency Net        7,540.0
      13,270.0 WX Gander                 SHARES Emergency Net        8,125.0
      13,270.0 WX New York               SHARES Emergency Net       10,195.0
      13,273.0 AFI-2                     SHARES Emergency Net       10,891.0
      13,273.0 Civ Av N&S Pac            SHARES Emergency Net       11,028.0
      13,280.0 AFI-4                     SHARES Emergency Net       13,630.0
      13,282.0 WX Auckland               SHARES Emergency Net       13,993.0
      13,282.0 WX Honolulu               SHARES Emergency Net       14,383.5
      13,285.0 Rainbow Radio             SHARES Emergency Net       16,348.0
      13,288.0 AFI-3 EUR-A MID-2         Ships CCG Halifax 13,113   12,266.0
      13,288.0 Civ Av Ctl E Pac          Ships CCG Halifax 4,408     4,116.0
      13,291.0 NAT-B/C/D                 Ships CCG Halifax 6,513     6,209.0
      13,294.0 AFI-4                     Ships CCG Halifax 8,785     8,261.0
      13,297.0 CAR                       Ship/Ship                   4,148.0
      13,297.0 Civ Av E Asia             Ship/Ship                   4,164.0
      13,297.0 C-SAM                     Ship/Ship                   6,224.0
      13,297.0 NE-SAM                    Ship/Ship                   6,227.0
      13,297.0 SE-SAM                    Ship/Ship                   6,230.0
      13,300.0 CEP-5                     Ship/Ship                   8,294.0
      13,300.0 CWP-1                     Ship/Ship                   8,297.0
      13,300.0 CWP-2                     Ship/Ship                  12,353.0
      13,300.0 NP-3                      Ship/Ship                  12,356.0
      13,300.0 NP-4                      Ship/Ship                  12,359.0
      13,300.0 SP-6                      Ship/Ship                  16,528.0
      13,300.0 SP-7                      Ship/Ship                  16,531.0
      13,303.0 Civ Av N Ctl Asia         Ship/Ship                  16,534.0
      13,306.0 INO-1 NAT-A/B/C           Ship/Ship                  22,159.0
      13,309.0 SEA-2 EA-2                Ship/Ship                  22,162.0
      13,312.0 Flight test               Ship/Ship                  22,165.0
      13,312.0 MID-1                     Ship/Ship                  22,168.0
      13,312.0 US Customs Channel YE     Ship/Ship                  22,171.0
      13,315.0 NCA-1 SAT-1/2             Southbound 2 Atlantic wx    6,224.0
      13,318.0 SEA-1/3                   SP                         11,327.0
      13,324.0 WW Berna                  Special Patrol Ops          7,626.0
      13,327.0 Aerolineas Argentinas     Special Patrol Ops          8,169.0
      13,327.0 LDOC Amsterdam KLM        SP-6                        5,643.0
      13,327.0 Lufthansa                 SP-6                       13,300.0
      13,327.0 Olympic Airways           SP-6                       17,904.0
      13,330.0 LDOC Africa               SP-6/7                      8,867.0
      13,330.0 LDOC Beirut               SP-7                        5,643.0
      13,330.0 LDOC Johannesburg         SP-7                       13,300.0
      13,330.0 LDOC N Am                 SP-7                       17,904.0
      13,330.0 Middle East Airlines      SP-9                        6,553.0
      13,330.0 WW HOU                    SP-9                       11,339.0
      13,330.0 WW Houston                SP-9 W-CAR                  8,846.0
      13,330.0 WW NY                     St Lys Coast                8,806.0
      13,330.0 WW San Juan               Sunair, KK2XCE              9,305.0
      13,333.0 LDOC Asia                 Sunair, KK2XCE             13,881.0
      13,333.0 LDOC Auckland             Sunair KK2XCE               7,553.0
      13,333.0 LDOC Europe               Survival Craft              8,364.0
      13,333.0 LDOC Hongkong             SW-SAM-8                   10,024.0
      13,333.0 LDOC London               TAC                         3,060.0
      13,333.0 LDOC Seoul                TAC                        11,124.0
      13,333.0 LDOC Singapore            TAC                        23,206.0
      13,336.0 LDOC Bogota               Tactical, CHOKER            6,879.0
      13,336.0 LDOC Europe               Tactical, CHOKER            6,970.0
      13,336.0 LDOC Lisbon               TAP Portuguese airline      5,532.0
      13,336.0 LDOC Rome                 TAP Portuguese airline      8,924.0
      13,336.0 LDOC S Am                 Time sigs VNG Penrith NSW   2,500.0
      13,336.0 LDOC Trinidad             Time sigs VNG Penrith NSW   8,638.0
      13,339.0 LDOC Africa               Time sigs VNG Penrith NSW  12,984.0
      13,339.0 LDOC Bahrain              Time sigs VNG Penrith NSW  16,000.0
      13,339.0 LDOC Havana               UN Bosnia                   5,310.0
      13,339.0 LDOC Jeddah               UN Disaster Net 4UNUN1 NY  14,268.0
      13,339.0 LDOC Mexico City          UN Relief Net              14,283.0
      13,339.0 LDOC N Am                 US Customs                 14,493.5
      13,339.0 LDOC Nairobi              US Customs                 18,283.0
      13,342.0 LDOC Asia                 US Customs Channel TA      10,242.0
      13,342.0 LDOC Europe               US Customs Channel TB      13,907.0
      13,342.0 LDOC Karachi              US Customs Channel TC      20,890.0
      13,342.0 LDOC Rangoon              US Customs Channel TD      23,214.0
      13,342.0 LDOC Stockholm            US Customs Channel TE      25,350.0
      13,344.0 WX Anchorage              US Customs Channel VA      27,870.0
      13,344.0 WX Hong Kong              US Customs Channel VB      20,631.0
      13,344.0 WX Honolulu               US Customs Channel VD      15,964.0
      13,344.0 WX Oakland                US Customs Channel VF      11,494.0
      13,344.0 WX Tokyo                  US Customs Channel VF      18,594.0
      13,345.0 LDOC Europe               US Customs Channel XA       2,808.5
      13,348.0 LDOC Africa               US Customs Channel XB       4,991.0
      13,348.0 LDOC N Am                 US Customs Channel XC       5,085.0
      13,348.0 WW HON                    US Customs Channel XD       7,778.5
      13,348.0 WW SFO                    US Customs Channel XE       9,238.0
      13,351.0 LDOC Asia                 US Customs Channel XF      11,073.0
      13,351.0 LDOC Bangkok              US Customs Channel XG      15,953.5
      13,351.0 LDOC Bombay               US Customs Channel XH      17,601.0
      13,351.0 LDOC Dublin               US Customs Channel XI      19,131.0
      13,351.0 LDOC Europe               US Customs Channel YA       3,428.0
      13,351.0 LDOC Jakarta              US Customs Channel YB       5,571.0
      13,351.0 LDOC Manila               US Customs Channel YC       8,912.0
      13,351.0 LDOC Ostende              US Customs Channel YE      13,312.0
      13,351.0 LDOC Paris                US Customs Channel YF      17,972.0
      13,352.0 WX Brazil                 US Customs Channel YK       3,369.0
      13,352.0 WX S Am                   US Customs Channel ZA       4,500.0
      13,354.0 CEP-5                     US Customs Channel ZB       7,527.0
      13,354.0 Civ Av A/G                US Customs Channel ZC       9,802.0
      13,354.0 Hurricane Ctr Miami       US Customs Channel ZD      12,222.0
      13,354.0 NAT-E                     US Customs Channel ZE      15,867.0
      13,354.0 WW HON                    US Navy Harbour             2,716.0
      13,356.0 LDOC Kingston             US Navy HICOM              13,181.0
      13,357.0 AFI-1 SAT-1/2             US Navy Norfolk             7,735.0
      13,412.0 USAF Mystic               US Navy Tactical            3,130.0
      13,420.0 Rainbow Radio             US Navy (Atlantic)          8,972.0
      13,432.5 DOT Emergency             US Navy (Raspberry Ch)      6,723.0
      13,440.0 USAF Mystic               USAF                        4,449.0
      13,455.0 USAF Mystic               USAF                        4,647.0
      13,457.0 USAF Mystic               USAF                        6,803.0
      13,485.0 USAF Mystic               USAF                        9,014.0
      13,547.0 USAF SAC                  USAF                       11,214.0
      13,585.0 USAF Mystic               USAF Andrews AFB           25,433.0
      13,630.0 FAA                       USAF Coordination           4,510.0
      13,630.0 SHARES Emergency Net      USAF Coordination           4,855.0
      13,710.0 USAF Mystic               USAF Coordination           5,350.0
      13,803.5 DOE                       USAF Coordination           5,810.0
      13,823.0 USAF Mystic               USAF Coordination           6,740.0
      13,865.0 LDOC Portishead           USAF Coordination           9,315.0
      13,881.0 Sunair, KK2XCE            USAF Coordination           9,316.0
      13,907.0 US Customs Channel TB     USAF Coordination           9,974.0
      13,907.0 USAF SAC                  USAF Coordination          14,615.0
      13,915.0 Intl Red Cross Switzerlnd USAF Coordination          19,303.0
      13,957.0 LDOC AAL Ft Worth         USAF Coordination          19,984.0
      13,960.0 USAF Mystic               USAF Coordination          20,191.0
      13,965.0 Intl Red Cross Switzerlnd USAF Coordination          20,475.0
      13,970.0 Canada MACS               USAF Flight WX             23,220.0
      13,973.0 Intl Red Cross Switzerlnd USAF GCCS                   3,067.0
      13,993.0 SHARES Emergency Net      USAF GCCS                   3,074.0
      13,997.0 Intl Red Cross Switzerlnd USAF GCCS                   3,081.0
      13,998.5 American Red Cross        USAF GCCS                   3,137.0
      14,235.0 Pan Am Health Org         USAF GCCS                   4,721.0
      14,265.0 IARN II, Red Cross Net    USAF GCCS                   4,729.0
      14,268.0 UN Disaster Net 4UNUN1 NY USAF GCCS                   5,688.0
      14,270.0 American Red Cross        USAF GCCS                   5,703.0
      14,275.0 Hurricane IARN/Red Cross  USAF GCCS                   5,710.0
      14,280.0 Hurricane Puerto Rico Net USAF GCCS                   6,688.0
      14,283.0 Hurricane Amateur Net     USAF GCCS                   6,727.0
      14,283.0 UN Relief Net             USAF GCCS                   6,738.0
      14,300.0 Maritime Mobile Net       USAF GCCS                   6,756.0
      14,325.0 Hurricane Ctr/Hams        USAF GCCS                   8,964.0
      14,350.0 DEA                       USAF GCCS                   8,967.0
      14,383.5 SHARES Emergency Net      USAF GCCS                   9,006.0
      14,384.5 CFARS                     USAF GCCS                   9,011.0
      14,448.0 USAF SAC                  USAF GCCS                  11,176.0
      14,450.0 FEMA                      USAF GCCS                  11,179.0
      14,461.0 FHWA                      USAF GCCS                  11,182.0
      14,467.0 USN Ships                 USAF GCCS                  11,226.0
      14,470.0 USN Ships                 USAF GCCS                  11,228.0
      14,493.0 FBI/Utah Natl Guard       USAF GCCS                  11,229.0
      14,493.5 US Customs                USAF GCCS                  11,236.0
      14,562.5 Panama Radio?             USAF GCCS                  11,239.0
      14,615.0 USAF Coordination         USAF GCCS                  11,246.0
      14,657.0 DOE                       USAF GCCS                  13,210.0
      14,670.0 CHU Time                  USAF GCCS                  13,217.0
      14,686.0 DEA P Alt day             USAF GCCS                  13,244.0
      14,690.0 DEA                       USAF GCCS                  13,247.0
      14,715.0 USAF Mystic               USAF GCCS                  15,015.0
      14,716.0 USAF SAC                  USAF GCCS                  15,036.0
      14,744.0 USAF SAC                  USAF GCCS                  15,680.0
      14,775.0 USAF SAC                  USAF GCCS                  16,090.0
      14,776.0 FEMA                      USAF GCCS                  18,002.0
      14,818.5 USN Ships                 USAF GCCS                  18,019.0
      14,890.0 LDOC Portishead           USAF GCCS                  23,227.0
      14,890.0 LDOC Portishead           USAF GCCS VIP               6,730.0
      14,894.0 NORAD/SAGE                USAF GCCS VIP               6,760.0
      14,902.0 CAP/USAF USB              USAF GCCS VIP               6,830.0
      14,902.0 USAF Mystic               USAF GCCS VIP              11,055.0
      14,913.0 USAF Mystic               USAF GCCS VIP              18,390.0
      14,955.0 USAF SAC                  USAF Mystic                 3,032.0
      15,000.0 WWV                       USAF Mystic                 3,071.0
      15,015.0 USAF GCCS                 USAF Mystic                 3,116.0
      15,021.0 ATL Fleet Ships           USAF Mystic                 3,144.0
      15,031.0 Lahr/Edm/Tren/StJ Mil     USAF Mystic                 4,742.0
      15,035.0 Edm/Tren/StJ Mil WX       USAF Mystic                 4,760.0
      15,035.0 USAF SAC                  USAF Mystic                 5,760.0
      15,036.0 USAF GCCS                 USAF Mystic                 5,800.0
      15,038.0 Halifax Mil WX            USAF Mystic                 5,820.0
      15,041.0 USAF SAC                  USAF Mystic                 6,683.0
      15,046.0 WW Berna                  USAF Mystic                 6,790.0
      15,048.0 USAF Mystic               USAF Mystic                 6,812.0
      15,051.0 ATL Fleet Ships           USAF Mystic                 6,817.0
      15,057.0 ATL Fleet Ships           USAF Mystic                 6,918.0
      15,081.0 USCG A/G                  USAF Mystic                 6,927.0
      15,084.0 USCG Helos                USAF Mystic                 6,993.0
      15,091.0 USAF Mystic               USAF Mystic                 7,690.0
      15,522.0 COMNAVFORCARIB            USAF Mystic                 7,735.0
      15,544.0 USAF SAC                  USAF Mystic                 7,765.0
      15,680.0 USAF GCCS                 USAF Mystic                 7,813.0
      15,687.0 USAF Mystic               USAF Mystic                 7,858.0
      15,835.0 WW Berna                  USAF Mystic                 7,997.0
      15,867.0 US Customs Channel ZE     USAF Mystic                 8,040.0
      15,910.0 FHWA                      USAF Mystic                 8,060.0
      15,953.5 US Customs Channel XG     USAF Mystic                 8,162.0
      15,962.0 USAF SAC                  USAF Mystic                 9,017.0
      15,964.0 US Customs Channel VD     USAF Mystic                 9,043.0
      16,000.0 Time sigs VNG Penrith NSW USAF Mystic                 9,120.0
      16,032.0 Andrews, CROWN, AF-1      USAF Mystic                 9,158.0
      16,065.5 DOE                       USAF Mystic                 9,180.0
      16,080.0 USAF Mystic               USAF Mystic                 9,270.0
      16,090.0 USAF GCCS                 USAF Mystic                 9,320.0
      16,117.0 USAF Mystic               USAF Mystic                 9,958.0
      16,141.0 DEA                       USAF Mystic                 9,991.0
      16,201.0 FEMA                      USAF Mystic                10,112.0
      16,211.5 FHWA                      USAF Mystic                10,427.0
      16,320.0 USAF Mystic               USAF Mystic                10,530.0
      16,348.0 SHARES Emergency Net      USAF Mystic                10,583.0
      16,370.0 LDOC Portishead           USAF Mystic                10,881.0
      16,382.0 Corps of Engineers        USAF Mystic                11,035.0
      16,407.0 USAF Mystic               USAF Mystic                11,180.0
      16,420.0 Marine Calling/Distress   USAF Mystic                11,210.0
      16,450.0 Medical Owings MD         USAF Mystic                11,407.0
      16,465.0 Scheveningen Ship Main    USAF Mystic                11,413.0
      16,528.0 Ship/Ship                 USAF Mystic                11,441.0
      16,531.0 Ship/Ship                 USAF Mystic                11,460.0
      16,534.0 Ship/Ship                 USAF Mystic                11,466.0
      16,590.2 Medical Owings Mill MD    USAF Mystic                11,484.0
      17,314.0 USCG Portsmouth wx        USAF Mystic                11,488.0
      17,347.0 Scheveningen Coast H05    USAF Mystic                11,498.0
      17,350.0 Hongkong Coast            USAF Mystic                11,545.0
      17,385.0 USAF Mystic               USAF Mystic                11,596.0
      17,398.5 DOE                       USAF Mystic                11,615.0
      17,405.0 LDOC Portishead           USAF Mystic                11,627.0
      17,415.0 WW Berna                  USAF Mystic                12,317.0
      17,421.0 DOT Emergency             USAF Mystic                12,324.0
      17,480.0 USAF Mystic               USAF Mystic                13,201.0
      17,485.0 LDOC Barbados             USAF Mystic                13,204.0
      17,525.0 FHWA                      USAF Mystic                13,214.0
      17,601.0 US Customs Channel XH     USAF Mystic                13,412.0
      17,617.0 USAF SAC                  USAF Mystic                13,440.0
      17,901.0 Hurricane Ctr Miami       USAF Mystic                13,455.0
      17,902.5 DOE                       USAF Mystic                13,457.0
      17,904.0 CEP-5                     USAF Mystic                13,485.0
      17,904.0 CWP-1                     USAF Mystic                13,585.0
      17,904.0 CWP-2                     USAF Mystic                13,710.0
      17,904.0 NP-3                      USAF Mystic                13,823.0
      17,904.0 NP-4                      USAF Mystic                13,960.0
      17,904.0 SP-6                      USAF Mystic                14,715.0
      17,904.0 SP-7                      USAF Mystic                14,902.0
      17,907.0 SAM E/W-CAR EA-2          USAF Mystic                14,913.0
      17,910.0 LDOC Barbados             USAF Mystic                15,048.0
      17,910.0 Rainbow Radio             USAF Mystic                15,091.0
      17,916.0 LDOC Asia                 USAF Mystic                15,687.0
      17,916.0 LDOC Athens               USAF Mystic                16,080.0
      17,916.0 LDOC Bombay               USAF Mystic                16,117.0
      17,916.0 LDOC Dublin               USAF Mystic                16,320.0
      17,916.0 LDOC Europe               USAF Mystic                16,407.0
      17,916.0 LDOC Jakarta              USAF Mystic                17,385.0
      17,916.0 LDOC Manila               USAF Mystic                17,480.0
      17,916.0 LDOC Paris                USAF Mystic                17,993.0
      17,916.0 LDOC Seoul                USAF Mystic                18,027.0
      17,916.0 LDOC Stockholm            USAF Mystic                20,016.0
      17,919.0 LDOC Buenos Aires         USAF Mystic                20,053.0
      17,919.0 LDOC Mexico City          USAF Mystic                20,154.0
      17,919.0 LDOC N Am                 USAF Mystic                20,313.0
      17,919.0 LDOC S Am                 USAF Mystic                22,723.0
      17,920.0 LDOC Bangkok              USAF Mystic                23,265.0
      17,922.0 LDOC Asia                 USAF Mystic                25,578.0
      17,922.0 LDOC Europe               USAF Mystic                26,471.0
      17,922.0 LDOC London               USAF Rescue                 6,715.0
      17,922.0 LDOC Quantas              USAF Rescue                11,440.0
      17,922.0 LDOC Sydney               USAF SAC                    3,113.0
      17,925.0 LDOC Africa               USAF SAC                    3,292.0
      17,925.0 LDOC Jeddah               USAF SAC                    3,295.0
      17,925.0 LDOC Jo'burg              USAF SAC                    3,369.0
      17,925.0 LDOC N Am                 USAF SAC                    4,489.5
      17,925.0 WW HON                    USAF SAC                    4,492.0
      17,925.0 WW NY                     USAF SAC                    4,495.0
      17,925.0 WW NY                     USAF SAC                    4,725.0
      17,925.0 WW San Juan               USAF SAC                    4,896.0
      17,925.0 WW SFO                    USAF SAC                    5,020.0
      17,928.0 LDOC Asia                 USAF SAC                    5,026.0
      17,928.0 LDOC Bogota               USAF SAC                    5,110.0
      17,928.0 LDOC Buenos Aires         USAF SAC                    5,171.0
      17,928.0 LDOC S Am                 USAF SAC                    5,215.0
      17,928.0 LDOC Tokyo                USAF SAC                    5,243.0
      17,928.0 LDOC Trinidad             USAF SAC                    5,328.0
      17,931.0 LDOC Africa               USAF SAC                    5,684.0
      17,931.0 LDOC Bahrain              USAF SAC                    5,700.0
      17,931.0 LDOC Beirut               USAF SAC                    5,826.0
      17,931.0 LDOC Cairo                USAF SAC                    5,987.0
      17,931.0 LDOC Europe               USAF SAC                    6,680.0
      17,931.0 LDOC Frankfurt            USAF SAC                    6,712.0
      17,931.0 LDOC Nairobi              USAF SAC                    6,746.0
      17,934.0 LDOC Asia                 USAF SAC                    6,826.0
      17,934.0 LDOC Havana               USAF SAC                    6,840.0
      17,934.0 LDOC N Am                 USAF SAC                    6,863.0
      17,934.0 LDOC Rangoon              USAF SAC                    6,870.0
      17,934.0 LDOC Singapore            USAF SAC                    6,886.0
      17,934.0 LDOC Sydney               USAF SAC                    7,330.0
      17,937.0 LDOC Africa               USAF SAC                    7,475.0
      17,937.0 LDOC Lima                 USAF SAC                    7,983.0
      17,937.0 LDOC S Am                 USAF SAC                    8,101.0
      17,940.0 Dragon Radio              USAF SAC                    9,023.0
      17,940.0 LDOC Asia                 USAF SAC                    9,027.0
      17,940.0 LDOC Auckland             USAF SAC                    9,057.0
      17,940.0 LDOC Europe               USAF SAC                    9,220.0
      17,940.0 LDOC Hong Kong            USAF SAC                    9,234.0
      17,940.0 LDOC Karachi              USAF SAC                   10,452.0
      17,940.0 LDOC Las Palmas           USAF SAC                   10,510.0
      17,940.0 LDOC Lisbon               USAF SAC                   11,100.0
      17,940.0 LDOC Madrid               USAF SAC                   11,118.0
      17,940.0 LDOC Mexico DF            USAF SAC                   11,220.0
      17,940.0 LDOC N Am                 USAF SAC                   11,243.0
      17,940.0 LDOC Ostende              USAF SAC                   11,494.0
      17,940.0 LDOC Rome                 USAF SAC                   11,607.0
      17,940.0 LDOC Sydney               USAF SAC                   13,205.0
      17,940.0 WW HON                    USAF SAC                   13,211.0
      17,940.0 WW HOU                    USAF SAC                   13,241.0
      17,946.0 NAT-A/B/C/D/E             USAF SAC                   13,547.0
      17,950.0 Av Lat America?           USAF SAC                   13,907.0
      17,955.0 AFI-1 SAT-1/2             USAF SAC                   14,448.0
      17,958.0 NCA-1/2/3                 USAF SAC                   14,716.0
      17,961.0 AFI-2                     USAF SAC                   14,744.0
      17,961.0 AFI-3                     USAF SAC                   14,775.0
      17,961.0 AFI-4                     USAF SAC                   14,955.0
      17,961.0 EUR-A                     USAF SAC                   15,035.0
      17,961.0 INO-1                     USAF SAC                   15,041.0
      17,961.0 MID-3                     USAF SAC                   15,544.0
      17,964.0 Flight Test               USAF SAC                   15,962.0
      17,972.0 US Customs Channel YF     USAF SAC                   17,617.0
      17,972.0 USAF SAC                  USAF SAC                   17,972.0
      17,975.0 USAF SAC                  USAF SAC                   17,975.0
      17,992.0 German Air Force          USAF SAC                   18,005.0
      17,993.0 USAF Mystic               USAF SAC                   20,167.0
      17,995.0 Edm/Tren/StJ Mil          USAF SAC                   20,631.0
      18,002.0 USAF GCCS                 USAF SAC                   20,737.0
      18,004.0 Phone patches French op   USAF SAC                   20,740.0
      18,005.0 USAF SAC                  USAF SAC                   20,846.0
      18,006.0 German Air Force          USAF SAC                   20,890.0
      18,012.0 Lahr/Edm/Tren/StJ Mil     USAF SAC                   21,815.0
      18,018.0 RAF                       USAF SAC                   23,337.0
      18,019.0 USAF GCCS                 USAF SAC                   23,419.0
      18,023.0 FEMA                      USAF/USN Coord             18,990.0
      18,023.0 WW Berna                  USCG                        2,350.0
      18,027.0 Canada MACS               USCG                        4,376.0
      18,027.0 USAF Mystic               USCG 7th Dist               2,691.0
      18,091.0 Hurricane USAF            USCG Air                    5,320.0
      18,205.0 CAP/USAF AK               USCG Air                    8,984.0
      18,210.0 LDOC Portishead           USCG Air                   11,201.0
      18,283.0 US Customs                USCG Air/Ground             2,261.0
      18,390.0 USAF GCCS VIP             USCG A/G                    3,123.0
      18,594.0 US Customs Channel VF     USCG A/G                    5,696.0
      18,666.0 Drug Enforcement H        USCG a/g                    8,684.0
      18,990.0 USAF/USN Coord            USCG A/G                   11,195.0
      19,131.0 US Customs Channel XI     USCG A/G                   15,081.0
      19,223.0 FHWA                      USCG Comsta Key West        8,255.0
      19,303.0 USAF Coordination         USCG Comsta N Orleans       8,760.0
      19,510.0 LDOC Portishead           USCG Cutters                3,387.0
      19,640.0 NASA Cape Radio           USCG Cutters                6,266.0
      19,984.0 USAF Coordination         USCG Cutters                6,714.0
      20,000.0 WWV                       USCG Cutters                7,439.0
      20,016.0 USAF Mystic               USCG Group Moriches         2,694.0
      20,053.0 USAF Mystic               USCG Helos                  3,120.0
      20,065.0 LDOC Portishead           USCG Helos                  5,692.0
      20,154.0 USAF Mystic               USCG Helos                 11,198.0
      20,167.0 USAF SAC                  USCG Helos                 15,084.0
      20,191.0 USAF Coordination         USCG Internal               2,103.0
      20,192.0 Jupiter Control           USCG Miami                 10,588.0
      20,313.0 USAF Mystic               USCG Miami COMSTA           6,518.0
      20,390.0 NASA Cape Radio           USCG New Orleans            8,764.0
      20,475.0 USAF Coordination         USCG Portsmouth wx          4,426.0
      20,600.0 Lat AM USAF Co-op         USCG Portsmouth wx          6,501.0
      20,631.0 US Customs Channel VB     USCG Portsmouth wx          8,764.0
      20,631.0 USAF SAC                  USCG Portsmouth wx         13,089.0
      20,737.0 USAF SAC                  USCG Portsmouth wx         17,314.0
      20,740.0 USAF SAC                  USCG WLC Rogers City MI     4,369.0
      20,753.0 Intl Red Cross Switzerlnd USCG WLC Rogers City MI     6,405.0
      20,812.0 Intl Red Cross Switzerlnd USCG w/ships, public        2,670.0
      20,815.0 Intl Red Cross Switzerlnd USMC Convoys                6,687.0
      20,846.0 USAF SAC                  USN A/G                     4,711.0
      20,852.0 FAA                       USN HICOM                  11,205.0
      20,855.0 NORAD/SAGE                USN HICOM East/North        6,720.0
      20,873.0 CAP/USAF USB              USN HICOM LANT             11,255.0
      20,876.3 MIT Observatory           USN HICOM LANT/CARIB        6,697.0
      20,885.0 MAAG Bolivia, Panama      USN HICOM LANT/CARIB       23,287.0
      20,890.0 US Customs Channel TC     USN HICOM WESTPAC          12,761.0
      20,890.0 USAF SAC                  USN Ships                  14,467.0
      20,939.0 Intl Red Cross Switzerlnd USN Ships                  14,470.0
      20,942.0 Intl Red Cross Switzerlnd USN Ships                  14,818.5
      20,987.0 Intl Red Cross ?          USN/NASA Air                8,981.0
      20,993.5 American Red Cross        Wellington NZ Radio         4,387.0
      20,998.0 Intl Red Cross Switzerlnd WW Berna                    4,654.0
      21,272.0 FEMA                      WW Berna                    6,643.0
      21,410.0 Intl Police Assn          WW Berna                    8,936.0
      21,765.0 LDOC Portishead           WW Berna                   10,069.0
      21,815.0 USAF SAC                  WW Berna                   13,205.0
      21,931.0 Flight Test               WW Berna                   13,324.0
      21,937.0 Hurricane Ctr Miami       WW Berna                   15,046.0
      21,940.0 LDOC Europe               WW Berna                   15,835.0
      21,940.0 LDOC Paris                WW Berna                   17,415.0
      21,943.0 Gulf Air                  WW Berna                   18,023.0
      21,943.0 LDOC Africa               WW Berna                   21,988.0
      21,943.0 LDOC Bahrain              WW Berna                   23,285.0
      21,943.0 LDOC Beirut               WW Berna                   25,500.0
      21,943.0 LDOC Jo'burg              WW Berna Reserve            3,010.0
      21,946.0 LDOC Europe               WW CEP                     13,261.0
      21,946.0 LDOC London               WW HON                      3,013.0
      21,949.0 LDOC Asia                 WW HON                      6,640.0
      21,949.0 LDOC Bombay               WW HON                     11,342.0
      21,949.0 LDOC Manila               WW HON                     11,348.0
      21,949.0 LDOC Rangoon              WW HON                     13,348.0
      21,949.0 LDOC Singapore            WW HON                     13,354.0
      21,949.0 LDOC Tokyo                WW HON                     17,925.0
      21,952.0 LDOC Dublin               WW HON                     17,940.0
      21,952.0 LDOC Europe               WW HON                     21,964.0
      21,952.0 LDOC Lisbon               WW HOU                      6,637.0
      21,952.0 LDOC Rome                 WW HOU                     10,075.0
      21,955.0 LDOC Bogota               WW HOU                     13,330.0
      21,955.0 LDOC Buenos Aires         WW HOU                     17,940.0
      21,955.0 LDOC S Am                 WW HOU                     21,964.0
      21,955.0 LDOC Trinidad             WW Houston                 13,330.0
      21,955.0 LDOC Trinidad             WW NY                       3,494.0
      21,958.0 LDOC Europe               WW NY                       6,640.0
      21,961.0 LDOC Africa               WW NY                      11,342.0
      21,964.0 LDOC N Am                 WW NY                      13,330.0
      21,964.0 WW HON                    WW NY                      17,925.0
      21,964.0 WW HOU                    WW NY                      17,925.0
      21,964.0 WW NY                     WW NY                      21,964.0
      21,964.0 WW San Juan               WW San Juan                 3,494.0
      21,964.0 WW SFO                    WW San Juan                 6,640.0
      21,967.0 LDOC Europe               WW San Juan                11,342.0
      21,967.0 LDOC Las Palmas           WW San Juan                13,330.0
      21,967.0 LDOC Madrid               WW San Juan                17,925.0
      21,970.0 LDOC Asia                 WW San Juan                21,964.0
      21,970.0 LDOC Auckland             WW SFO                      3,013.0
      21,970.0 LDOC Bangkok              WW SFO                      6,640.0
      21,970.0 LDOC Hong Kong            WW SFO                     11,348.0
      21,970.0 LDOC Jakarta              WW SFO                     13,348.0
      21,970.0 LDOC Karachi              WW SFO                     17,925.0
      21,970.0 LDOC Quantas              WW SFO                     21,964.0
      21,970.0 LDOC Seoul                WWV                         2,500.0
      21,973.0 LDOC Europe               WWV                         5,000.0
      21,976.0 LDOC Lima                 WWV                        10,000.0
      21,976.0 LDOC S Am                 WWV                        15,000.0
      21,979.0 LDOC Athens               WWV                        20,000.0
      21,979.0 LDOC Europe               WX Anchorage                2,980.0
      21,979.0 LDOC Frankfurt            WX Anchorage                5,519.0
      21,982.0 LDOC Africa               WX Anchorage                8,903.0
      21,982.0 LDOC Cairo                WX Anchorage               13,344.0
      21,982.0 LDOC Nairobi              WX Argentina                2,980.0
      21,985.0 LDOC Havana               WX Argentina                4,668.0
      21,985.0 LDOC N Am                 WX Argentina                5,477.0
      21,988.0 LDOC Europe               WX Argentina                8,938.0
